web-scraper-order,web-scraper-start-url,category,category-href,plant,plant-href,name,description,price,water,light
"1682093064-20","https://piante.ca/#","Large Plants","https://piante.ca/collections/large-plants","10"" Fiddle Leaf Fig
$115.99","https://piante.ca/collections/large-plants/products/10-fiddle-leaf-fig","10"" Fiddle Leaf Fig","A popular tropical house plant with an upright growth habit. Its beautiful broad, bright green leaves have deep veins and are attached to sturdy woody stems. Be sure to keep away from drafts and spray or wipe down the leaves to provide them with extra moisture. The Fiddle Leaf Fig often becomes a focal point in a room as a floor plant and can grow up to six feet tall.","$115.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","Plants that require medium to high light will grow best in sunny spots where they can receive filtered or direct sunlight. They make the perfect plants for any well-lit room in your house."
"1682093066-21","https://piante.ca/#","Large Plants","https://piante.ca/collections/large-plants","10"" Peace Lily
$101.99","https://piante.ca/collections/large-plants/products/0242e39e-bf23-11ea-fc6f-f2ce937c99c0","10"" Peace Lily","Peace Lily is a classic ornamental plant and a long-time favorite of many plant hobbyists and collectors. While its flowers remind you of calla lilies,  this famed air cleaning plant is not a true lily since it’s actually a part of the Arum family. The leaves are attractive as they are - glossy, dark green, and lance-shaped that arch out from the plant’s base. Yet, the white flowers are the main attraction. They form a club-like cluster, surrounded by an elegant white bract.","$101.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","These plants perform well under low to medium light conditions. Place them in a room with a minimal light source or far from sunny windows, and they’re good to go."
"1682093068-22","https://piante.ca/#","Large Plants","https://piante.ca/collections/large-plants","10"" Monstera Split Leaf Philodendron
$113.99","https://piante.ca/collections/large-plants/products/0242e39e-bf23-11ea-fc6f-f2cde0a226e7","10"" Monstera Split Leaf Philodendron","An iconic must-have addition to any plant lover's collection, Monstera Deliciosa is as easy to care for as it is beautiful. With deep green, heart-shaped leaves that can easily grow to massive widths, this plant is well known for the vertical splits that run from the leaf's edge to its core. Monstera has a tendency to grow out and down, but place a moss-covered poll in the soil and watch in awe as this plant clings to it with aerial roots.","$113.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093070-23","https://piante.ca/#","Large Plants","https://piante.ca/collections/large-plants","10"" Ficus Bonsai
$299.99","https://piante.ca/collections/large-plants/products/10-ficus-bonsai","10"" Ficus Bonsai","null","$299.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","Plants that require medium to high light will grow best in sunny spots where they can receive filtered or direct sunlight. They make the perfect plants for any well-lit room in your house."
"1682093075-24","https://piante.ca/#","Medium Plants","https://piante.ca/collections/medium-plants","6.5"" Lipstick Vine Hanging Basket
$48.99","https://piante.ca/collections/medium-plants/products/6-lipstick-vine","6.5"" Lipstick Vine Hanging Basket","null","$48.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093077-25","https://piante.ca/#","Medium Plants","https://piante.ca/collections/medium-plants","5"" Small Leaf Fukien Tea Bonsai
$40.99","https://piante.ca/collections/medium-plants/products/small-leaf-fukien-tea-bonsai","5"" Small Leaf Fukien Tea Bonsai","Known for their glossy green leaves and grey-beige bark, the Fukien Tea is a stunning choice for an indoor bonsai. It's trunk and branhces take well to bonsai forming, making it a great choice for beginners.","$40.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","High light plants require full sunlight to assume their full potential, which means they need at least 6 hours of direct, bright light a day. The brightest spot in your home is the best place to put them."
"1682093079-26","https://piante.ca/#","Medium Plants","https://piante.ca/collections/medium-plants","6"" ZZ Plant
$49.99","https://piante.ca/collections/medium-plants/products/6-zz-plant","6"" ZZ Plant","The ZZ plant, otherwise known as Zamioculcas zamifolia or Zanzibar Gem, is a popular houseplant with deep green, glossy leaves that bring a tropical look to any space. It’s known for its interesting aesthetics, air-purifying abilities, and easy-to-care nature. Moreover, it’s one of the hardest plants to kill, making it the perfect choice for beginners and busy plant parents! Even if you forget to water it for days, this hardy plant won’t mind, and it will still thrive.","$49.99","Low water plants only need watering once a week or once every two weeks. Allow the soil to dry completely before the next watering.","These plants perform well under low to medium light conditions. Place them in a room with a minimal light source or far from sunny windows, and they’re good to go."
"1682093082-27","https://piante.ca/#","Medium Plants","https://piante.ca/collections/medium-plants","5"" Buddhas Hand Citrus
$73.99","https://piante.ca/collections/medium-plants/products/buddashandcitrus","5"" Buddhas Hand Citrus","This grafted variety of Citrus trees are well suited to smaller containers and allow you to grow citrus plants indoors. The Buddas Hand citrus tree displays glossy, green foliage and a wonderful citrus fragrance. During summer months they may be placed either inside or outside, but not in a windy area. Once your plant flowers, if it is pollinated it will produce fruit.","$73.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","High light plants require full sunlight to assume their full potential, which means they need at least 6 hours of direct, bright light a day. The brightest spot in your home is the best place to put them."
"1682093084-28","https://piante.ca/#","Medium Plants","https://piante.ca/collections/medium-plants","5"" Navel Orange Citrus
$73.99","https://piante.ca/collections/medium-plants/products/5-citrus-naval-orange","5"" Navel Orange Citrus","This grafted variety of Citrus trees are well suited to smaller containers and allow you to grow citrus plants indoors. The Orange tree displays glossy, green foliage and a wonderful citrus fragrance. During summer months they may be placed either inside or outside, but not in a windy area. Once your plant flowers, if it is pollinated it will produce fruit.","$73.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","High light plants require full sunlight to assume their full potential, which means they need at least 6 hours of direct, bright light a day. The brightest spot in your home is the best place to put them."
"1682093086-29","https://piante.ca/#","Medium Plants","https://piante.ca/collections/medium-plants","6.5"" Baby Tears Hanging Basket
$33.99","https://piante.ca/collections/medium-plants/products/6-baby-tears-hanging-basket","6.5"" Baby Tears Hanging Basket","While the Baby Tears plant may be delicate looking, they are easy to maintain and are sure to add a pop of colour to any indoor space. The leaves of this tropical plant grow in dense clusters, which make it perfect for hanging baskets or trailing over the edge or terrariums.","$33.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093089-30","https://piante.ca/#","Medium Plants","https://piante.ca/collections/medium-plants","6.5"" Tradescantia Pink Panther Hanging Basket
$35.99","https://piante.ca/collections/medium-plants/products/6-tradescantia-pink-panther","6.5"" Tradescantia Pink Panther Hanging Basket","Also known as  ""Pink Bubble"" or ""Pink Lady"", this supercute houseplant is recognized for its small, low- growing, pink and green variegated leaves. Remember to pinch back the vining tendrils to encourage branching and increase fullness. With its show-stopping colourful foliage, this plant is sure to brighten up any dull space.","$35.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093091-31","https://piante.ca/#","Medium Plants","https://piante.ca/collections/medium-plants","6.5"" Monstera Split Leaf Hanging Basket
$35.99","https://piante.ca/collections/medium-plants/products/6-split-leaf-phliodendron-hanging-basket","6.5"" Monstera Split Leaf Hanging Basket","An iconic must have addition to any plant lover's collection, Monstera Deliciosa is as easy to care for as it is beautiful. With deep green, heart- shaped leaves that can easily grow to massive widths, this plant is well known for the vertical splits that run from the leaf's edge to its core. Monstera have a tendency to grow out and down, but place a moss-covered poll in the soil and watch in awe as this plant clings to it with arial roots.","$35.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093093-32","https://piante.ca/#","Medium Plants","https://piante.ca/collections/medium-plants","5"" Key Lime Citrus
$73.99","https://piante.ca/collections/medium-plants/products/5-citrus-key-lime","5"" Key Lime Citrus","This grafted variety of Citrus trees are well suited to smaller containers and allow you to grow citrus plants indoors. The Lime tree displays glossy, green foliage and a wonderful citrus fragrance. During summer months they may be placed either inside or outside, but not in a windy area. Once your plant flowers, if it is pollinated it will produce fruit.","$73.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","High light plants require full sunlight to assume their full potential, which means they need at least 6 hours of direct, bright light a day. The brightest spot in your home is the best place to put them."
"1682093096-33","https://piante.ca/#","Medium Plants","https://piante.ca/collections/medium-plants","5"" Retusa Bonsai
$99.99","https://piante.ca/collections/medium-plants/products/retusa-bonsai","5"" Retusa Bonsai","The same species as Ficus Ginseng, our Retusa Bonsai lacks the arial roots and instead has a beautifully shaped trunk, classic to the bonsai style. It is striking in appearance and a more forgiving variety of bonsai, making it ideal for beginners.","$99.99","These are plants that need regular watering twice a week or once every five days or so. For these plants, it’s best to keep the soil evenly moist and watered.","Plants that require medium to high light will grow best in sunny spots where they can receive filtered or direct sunlight. They make the perfect plants for any well-lit room in your house."
"1682093098-34","https://piante.ca/#","Medium Plants","https://piante.ca/collections/medium-plants","5"" Podocarpus Bonsai
$84.99","https://piante.ca/collections/medium-plants/products/5-podocarpus-bonsai","5"" Podocarpus Bonsai","Also known as Buddhist Pine, this durable plant has been shaped over its development into an eye-catching bonsai. Easily identified by its long, slender, deep green leaves, Podocarpus is a great choice for a sunny desktop.","$84.99","These are plants that need regular watering twice a week or once every five days or so. For these plants, it’s best to keep the soil evenly moist and watered.","Plants that require medium to high light will grow best in sunny spots where they can receive filtered or direct sunlight. They make the perfect plants for any well-lit room in your house."
"1682093100-35","https://piante.ca/#","Medium Plants","https://piante.ca/collections/medium-plants","5"" Sweet Plum Bonsai
$84.99","https://piante.ca/collections/medium-plants/products/5-sweet-plum-bonsai","5"" Sweet Plum Bonsai","With small, rounded leaves that are initially a brown/bronze colour before shifitng to a vibrant green, the Sweet Plum bonsai makes for a stunning addition to any collection. As the tree ages its bark will slowly peel away, resulting in a unique patchwork look.","$84.99","These are plants that need regular watering twice a week or once every five days or so. For these plants, it’s best to keep the soil evenly moist and watered.","Plants that require medium to high light will grow best in sunny spots where they can receive filtered or direct sunlight. They make the perfect plants for any well-lit room in your house."
"1682093103-36","https://piante.ca/#","Medium Plants","https://piante.ca/collections/medium-plants","6.5"" Cebu Blue Pothos Hanging Basket
$48.99","https://piante.ca/collections/medium-plants/products/6-cebu-blue-pothos","6.5"" Cebu Blue Pothos Hanging Basket","null","$48.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093105-37","https://piante.ca/#","Medium Plants","https://piante.ca/collections/medium-plants","6.5"" Micans Philodendron Hanging Basket
$37.99","https://piante.ca/collections/medium-plants/products/6-micans-philodendron","6.5"" Micans Philodendron Hanging Basket","null","$37.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","Plants that require medium to high light will grow best in sunny spots where they can receive filtered or direct sunlight. They make the perfect plants for any well-lit room in your house."
"1682093108-38","https://piante.ca/#","Medium Plants","https://piante.ca/collections/medium-plants","5"" Fukien Tea Bonsai
$84.99","https://piante.ca/collections/medium-plants/products/fukien-tea-bonsai","5"" Fukien Tea Bonsai","Known for their glossy green leaves and grey-beige bark, the Fukien Tea is a stunning choice for an indoor bonsai. It's trunk and branhces take well to bonsai forming, making it a great choice for beginners.","$84.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","High light plants require full sunlight to assume their full potential, which means they need at least 6 hours of direct, bright light a day. The brightest spot in your home is the best place to put them."
"1682093110-39","https://piante.ca/#","Medium Plants","https://piante.ca/collections/medium-plants","6.5"" Staghorn Fern Hanging Basket
$39.99","https://piante.ca/collections/medium-plants/products/6-staghorn-fern-hanging-basket","6.5"" Staghorn Fern Hanging Basket","Staghorn Fern got its name from its antler-like, green, and leathery leaves. It’s one of the most unusual yet beautiful houseplants that add a tropical look in your space. Just hang it in baskets or place it on branches, and this famed fern will do a stunning job. With the right care and conditions, Staghorn Fern gives a striking display of cascading fronds. Each plant features two types of fronds: small and flat basal fronds, and upright aerial fronds.","$39.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093112-40","https://piante.ca/#","Medium Plants","https://piante.ca/collections/medium-plants","6"" Jade
$33.99","https://piante.ca/collections/medium-plants/products/6-jade","6"" Jade","Jade Plants, also known as Lucky Plants or Friendship Plants, are beautiful and easy to care for. They are often given as gifts as they have been thought to bring good luck to their owners. Jades are succulent plants, which makes them fairly resilient and easy to grow indoors. They have dense formations of thick, waxy leaves and woody stems that can resemble miniature trees. Due to their easy-going nature, Jade plants often live for a long time and can grow as large as three feet or more when kept indoors. If they receive an abundance of light, the plant takes on a bright red border around its vibrant, green leaves.","$33.99","Plants with low to medium water requirements need at least once a week of watering. Water these plants when the soil feels dry to touch.","Plants that require medium to high light will grow best in sunny spots where they can receive filtered or direct sunlight. They make the perfect plants for any well-lit room in your house."
"1682093114-41","https://piante.ca/#","Medium Plants","https://piante.ca/collections/medium-plants","5"" Meyer Lemon Citrus
$73.99","https://piante.ca/collections/medium-plants/products/5-citrus-meyer-lemon","5"" Meyer Lemon Citrus","This grafted variety of Citrus trees are well suited to smaller containers and allow you to grow citrus plants indoors. The Lemon tree displays glossy, green foliage and a wonderful citrus fragrance. During summer months they may be placed either inside or outside, but not in a windy area. Once your plant flowers, if it is pollinated it will produce fruit.","$73.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","High light plants require full sunlight to assume their full potential, which means they need at least 6 hours of direct, bright light a day. The brightest spot in your home is the best place to put them."
"1682093116-42","https://piante.ca/#","Medium Plants","https://piante.ca/collections/medium-plants","6"" Philodendron Hanging Baskets
from $35.99","https://piante.ca/collections/medium-plants/products/6-philodendron-hanging-basket","6"" Philodendron Hanging Baskets","Here’s a hand-picked set of easy-to-care-for Philodendrons that are ideal for novice plant lovers and collectors alike. A must-have addition to your indoor jungle, these luxurious foliage plants feature leaves in varying sizes, shapes, textures, and colours. Most types are heart-shaped and green, and others have a variegated pattern or hints of red or white. You’d often find these no-fail plants growing as vines in hanging baskets and pots; however, some Philodendron varieties exhibit an upright growth habit.","$35.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","These plants perform well under low to medium light conditions. Place them in a room with a minimal light source or far from sunny windows, and they’re good to go."
"1682093119-43","https://piante.ca/#","Medium Plants","https://piante.ca/collections/medium-plants","6.5"" Pothos Hanging Baskets
from $36.99","https://piante.ca/collections/medium-plants/products/6-pothos-hanging-basket","6.5"" Pothos Hanging Baskets","Here’s an assortment of Pothos plants to add to your growing plant collection. Reputable and widely popular as houseplants, these trailing vines look great in hanging baskets or small pots. They offer lots of attractive varieties with green, heart-shaped leaves that vary in pattern, shades, and sizes. Some have creamy variegation on the leaves, while others have streaks of yellow or silver-like markings. These lovely creepers can withstand neglect, too, so they’re perfect for busy plant parents.","$39.99","Plants with medium or moderate water needs should be watered once or twice a week. They need moist soil throughout the growing season for optimum growth and flowering. Water these plants when the soil is dry to touch.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093123-44","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Peperomia Red Raisinet
$23.99","https://piante.ca/collections/small-plants/products/4-peperomia-red-raisinet","4"" Peperomia Red Raisinet","Sporting heart shaped leaves with deep puckering ripples and a brilliant ruby colour, Peperomia Red Raisinet really stands out. Because of their succulent-llike stems, these plants tend to be droopy drama queens when overwatered, but will quickly perk bakc up once their soil dries out. With colours varying from greens, to reds and silvery-whites, you can always fit a Peperomia into your style.","$23.99","Plants with low to medium water requirements need at least once a week of watering. Water these plants when the soil feels dry to touch.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093126-45","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Ant Plant Bonsai
$40.99","https://piante.ca/collections/small-plants/products/4-ant-plant-bonsai","4"" Ant Plant Bonsai","The Ant Plant is a unique plant, known for having a symbiotic relationship with ants in it's natural habitat, which live in its rounded, hollow base. With it's unique looking base and long slender leaves, the Ant Plant is sure to make a statment on any shelf.","$40.99","Plants with low to medium water requirements need at least once a week of watering. Water these plants when the soil feels dry to touch.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093128-46","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" HB Hoya Curtsii
$33.99","https://piante.ca/collections/small-plants/products/4-hb-hoya-curtsii","4"" HB Hoya Curtsii","Hoya curtisii is a compact hoya variety with a trailing growth habit. It has spade-shaped leaves with beautiful silvery variegation. As it doesn't take up much space, this hoya can easily be incorporated into your decor. Place it on table surfaces, or show off its unique creeping foliage from a shelf or hanging basket.","$33.99","Plants with low to medium water requirements need at least once a week of watering. Water these plants when the soil feels dry to touch.","These plants need filtered or dappled sunlight. You would want to place them in a well-lit room with windows, but away from direct light. A sunny window with sheer curtains is also a good idea."
"1682093130-47","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Banana Plant
$18.99","https://piante.ca/collections/small-plants/products/0242e39e-bf23-11ea-fc6f-f2ce8741d0a5","4"" Banana Plant","While the most common Banana Plant is cultivated for its edible fruits, some varieties make an excellent houseplant. Thanks to the extraordinary display of lush foliage and white blooms, this tropical fruit tree’s tropical charm fit as a lovely décor in any dull space in your home or office. Many loved its broad, green, and paddle-shaped leaves in a spiral-like form that fan out beautifully. Banana Plant helps purify the air indoors.","$18.99","These plants require frequent irrigation to achieve the best performance. They need watering 3 to 4 times a week since these plants are typically fast-growing and shallow-rooted.","High light plants require full sunlight to assume their full potential, which means they need at least 6 hours of direct, bright light a day. The brightest spot in your home is the best place to put them."
"1682093133-48","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Sansevieria Mikado Fernwood
$32.99","https://piante.ca/collections/small-plants/products/4-sanseveria-mikado-fernwood","4"" Sansevieria Mikado Fernwood","Sansevieria Mikado Fernwood has a striking profile due to the dozens of thin cylindrical leaves seemingly erupting out of the soil in a fountain of variegated greens. Like other Sansevieria, Mikado Fernwood can grow in a variety of lighting conditions and can handle a little neglect. This plant is a must-have for any plant parent, old or new.","$32.99","Plants with low to medium water requirements need at least once a week of watering. Water these plants when the soil feels dry to touch.","These plants perform well under low to medium light conditions. Place them in a room with a minimal light source or far from sunny windows, and they’re good to go."
"1682093135-49","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Green Tea
$27.99","https://piante.ca/collections/small-plants/products/4-green-tea","4"" Green Tea","This indoor tropical plant has a beautiful display of glossy, green leaves with serrated edges. This variety of green tea plant originates from the southwest region of China as an evergreen forest shrub. It was typically grown on mountain slopes and produces a sweeter, more mild taste.","$27.99","Plants with low to medium water requirements need at least once a week of watering. Water these plants when the soil feels dry to touch.","Plants that require medium to high light will grow best in sunny spots where they can receive filtered or direct sunlight. They make the perfect plants for any well-lit room in your house."
"1682093138-50","https://piante.ca/#","Small Plants","https://piante.ca/collections/small-plants","4"" Mimosa
$21.99","https://piante.ca/collections/small-plants/products/4-mimosa","4"" Mimosa","Mimosa, also known as Sensitive Plant, can easily catch anyone’s attention with its unique and captivating features. The prickly tropical and creeping shrub is a fun houseplant to have – especially when you have kids around! The leaves may look plain and simple, but they definitely are worthy of recognition. Each leaf features feather-like fronds that respond to touch or other movements by rapidly folding inward and drooping. Thus, the nicknames Sensitive Plant and Shame Plant. The plant also features small fluffy pink or purple flowers.","$21.99","These plants require frequent irrigation to achieve the best performance. They need watering 3 to 4 times a week since these plants are typically fast-growing and shallow-rooted.","High light plants require full sunlight to assume their full potential, which means they need at least 6 hours of direct, bright light a day. The brightest spot in your home is the best place to put them."
